trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",20,0,-94.75801455760025,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.9999875000260416, 'e': 0.9999875000260416}",25,0,-125.0655789790654,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.9999500004166653, 'e': 0.9999500004166653}",20,0,-218.83663729358463,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.9998875021093592, 'e': 0.9998875021093592}",20,0,-144.63557438489775,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.9998000066665778, 'e': 0.9998000066665778}",20,0,-110.45164839405615,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.9996875162757026, 'e': 0.9996875162757026}",25,0,-175.35566453155892,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.9995500337489875, 'e': 0.9995500337489875}",25,0,-70.63915735759625,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.9993875625234886, 'e': 0.9993875625234886}",20,0,-58.54516521669032,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.9992001066609779, 'e': 0.9992001066609779}",25,0,-113.60136287422799,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.9989876708478425, 'e': 0.9989876708478425}",30,0,-213.98617220793219,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.9987502603949663, 'e': 0.9987502603949663}",35,0,-246.77381619196635,"{0: 18, 1: 5, 2: 6, 3: 3, 4: 3}",0
12,False,"{'a': 0.9984878812375985, 'e': 0.9984878812375985}",35,17,-53.82320455395471,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
13,False,"{'a': 0.9982005399352042, 'e': 0.9982005399352042}",25,0,-183.13494562267726,"{0: 11, 1: 7, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.9978882436713011, 'e': 0.9978882436713011}",20,0,-126.84502240992056,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.9975510002532796, 'e': 0.9975510002532796}",25,0,-138.82107492293582,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.9971888181122075, 'e': 0.9971888181122075}",25,0,-104.34197558785827,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
17,False,"{'a': 0.9968017063026194, 'e': 0.9968017063026194}",20,0,-77.79962890536224,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.9963896745022904, 'e': 0.9963896745022904}",20,0,-72.16061367753353,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.9959527330119943, 'e': 0.9959527330119943}",20,0,-46.997857336973496,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.9954908927552453, 'e': 0.9954908927552453}",20,0,-80.63890853222316,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.9950041652780257, 'e': 0.9950041652780257}",20,0,-123.33734877808338,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.9944925627484974, 'e': 0.9944925627484974}",20,0,-190.6917143975768,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
23,False,"{'a': 0.9939560979566968, 'e': 0.9939560979566968}",20,7,-90.92335448448175,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
24,False,"{'a': 0.9933947843142158, 'e': 0.9933947843142158}",20,0,-146.45342734728948,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.9928086358538663, 'e': 0.9928086358538663}",25,0,-118.53295735401188,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.992197667229329, 'e': 0.992197667229329}",20,0,-108.70297819365322,"{0: 10, 1: 4, 2: 2, 3: 4, 4: 0}",0
27,False,"{'a': 0.9915618937147881, 'e': 0.9915618937147881}",25,0,-165.71684352742403,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.9909013312045479, 'e': 0.9909013312045479}",35,0,-172.0227502892765,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
29,False,"{'a': 0.9902159962126371, 'e': 0.9902159962126371}",25,0,-205.12995351496662,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
30,False,"{'a': 0.9895059058723947, 'e': 0.9895059058723947}",20,0,-180.97063168652852,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
31,False,"{'a': 0.9887710779360422, 'e': 0.9887710779360422}",25,0,-64.95019335414135,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.9880115307742399, 'e': 0.9880115307742399}",35,0,-95.39900948805038,"{0: 20, 1: 6, 2: 8, 3: 1, 4: 0}",0
33,False,"{'a': 0.9872272833756269, 'e': 0.9872272833756269}",20,0,-116.84131523679993,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.9864183553463477, 'e': 0.9864183553463477}",30,0,-95.45918925478952,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.9855847669095608, 'e': 0.9855847669095608}",20,0,-79.70250616347292,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.9847265389049334, 'e': 0.9847265389049334}",20,0,-134.2172649181067,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
37,False,"{'a': 0.9838436927881214, 'e': 0.9838436927881214}",30,0,-144.96416810735664,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.9829362506302315, 'e': 0.9829362506302315}",20,0,-96.73843534722243,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.9820042351172703, 'e': 0.9820042351172703}",30,0,-154.05755870137227,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
40,False,"{'a': 0.9810476695495772, 'e': 0.9810476695495772}",20,0,-18.555492101686653,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.9800665778412416, 'e': 0.9800665778412416}",20,0,-107.32834505593628,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.9790609845195051, 'e': 0.9790609845195051}",20,0,-132.5143928880839,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.9780309147241483, 'e': 0.9780309147241483}",20,0,-160.36281763278404,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
