trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-116.8329016740795,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-106.25831834533956,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-102.23567715162639,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-91.1515744953342,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-61.61321726905891,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-172.08985173704093,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-109.00958118435858,"{0: 11, 1: 2, 2: 3, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-95.33665300064897,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,6,-65.52214227766862,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-72.53523541415329,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
